"personenkonto";"rechnungsnr";"buchdatum";"gkonto";"belegnr";"extbelegnr";"belegdatum";"prozent";"steuercode";"buchcode";"betrag";"steuer";"buchsymbol";"konto";"verbuchkz";"gegenbuchkz";"netto";"kost";"text"
200056;"RE-2026-00075";;;00075;"";;;;;-92,73;-18,54;;4000;"A";"E";-92,73;00075;"RE-2026-00075"
200240;"RE-2026-00076";;;00076;"";;;;;-54,50;-10,90;;4000;"A";"E";-54,50;00076;"RE-2026-00076"
2000;"RE-2026-00077";;;00077;"";;;;;-95,40;-19,08;;4000;"A";"E";-95,40;00077;"RE-2026-00077"
200295;"RE-2026-00078";;;00078;"";;;;;-202,82;-40,56;;4000;"A";"E";-202,82;00078;"RE-2026-00078"
200110;"RE-2026-00079";;;00079;"";;;;;-0,00;0,00;;4000;"A";"E";-0,00;00079;"RE-2026-00079"
200170;"RE-2026-00080";;;00080;"";;;;;-485,21;-97,04;;4000;"A";"E";-485,21;00080;"RE-2026-00080"
200069;"RE-2026-00081";;;00081;"";;;;;-108,17;-21,63;;4000;"A";"E";-108,17;00081;"RE-2026-00081"
200242;"RE-2026-00082";;;00082;"";;;;;-252,83;-50,57;;4000;"A";"E";-252,83;00082;"RE-2026-00082"
200085;"RE-2026-00083";;;00083;"";;;;;-714,68;0,00;;4000;"A";"E";-714,68;00083;"RE-2026-00083"
2000;"RE-2026-00084";;;00084;"";;;;;-37,00;-7,40;;4000;"A";"E";-37,00;00084;"RE-2026-00084"
200125;"RE-2026-00085";;;00085;"";;;;;-100,00;0,00;;4000;"A";"E";-100,00;00085;"RE-2026-00085"
200022;"RE-2026-00086";;;00086;"";;;;;-834,08;-166,82;;4000;"A";"E";-834,08;00086;"RE-2026-00086"
200065;"RE-2026-00087";;;00087;"";;;;;-433,84;-86,77;;4000;"A";"E";-433,84;00087;"RE-2026-00087"
200158;"RE-2026-00088";;;00088;"";;;;;-2716,18;-543,24;;4000;"A";"E";-2716,18;00088;"RE-2026-00088"
200094;"RE-2026-00089";;;00089;"";;;;;-223,00;-44,60;;4000;"A";"E";-223,00;00089;"RE-2026-00089"
200117;"RE-2026-00090";;;00090;"";;;;;-80,40;-16,08;;4000;"A";"E";-80,40;00090;"RE-2026-00090"
200181;"RE-2026-00091";;;00091;"";;;;;-29,16;-5,83;;4000;"A";"E";-29,16;00091;"RE-2026-00091"
200076;"RE-2026-00092";;;00092;"";;;;;-152,12;-30,42;;4000;"A";"E";-152,12;00092;"RE-2026-00092"
200100;"RE-2026-00093";;;00093;"";;;;;-53,00;-10,60;;4000;"A";"E";-53,00;00093;"RE-2026-00093"
200051;"RE-2026-00094";;;00094;"";;;;;-74,76;-14,95;;4000;"A";"E";-74,76;00094;"RE-2026-00094"
